source_id,display_name,type,mean_citedness_2yr,works_count,h_index
S122317144,Brain Sciences,journal,3.8698173383589447,,114
S122347013,American Journal of Obstetrics and Gynecology,journal,1.9358055468993456,,384
S122700532,Developmental Review,journal,4.515151515151516,,173
S122767448,Journal of Management,journal,9.045112781954888,,400
S122814990,Artificial Intelligence Review,journal,28.468627450980392,,196
S122833416,WASSERWIRTSCHAFT,journal,0.13506493506493505,,12
S122874067,International Journal of Nursing Practice,journal,2.0557491289198606,,91
S123019783,Language in Society,journal,0.664179104477612,,153
S123089821,Ultrasound Quarterly,journal,1.1604938271604939,,54
S123141016,Vojnosanitetski pregled,journal,0.27312775330396477,,33
S123144817,Journal of Cognitive Neuroscience,journal,3.242857142857143,,310
S123151105,Journal of Sleep Research,journal,3.295,,177
S123713480,Nutrition Research,journal,2.9145728643216082,,143
S123732490,BMC Pregnancy and Childbirth,journal,2.732880588568195,,173
S123849098,Behaviour and Information Technology,journal,4.631724137931035,,139
S123899908,Interaction Studies Social Behaviour and Communication in Biological and Artificial Systems,journal,1.0625,,53
S12390320,Orvosi Hetilap,journal,0.9079136690647482,,30
S123953891,International Journal of Humanities and Arts Computing,journal,0.509090909090909,,25
S124015537,Substance Abuse Treatment Prevention and Policy,journal,2.5789473684210527,,80
S124035732,Anesthesiology,journal,2.599855803893295,,369
S12410666,Journal of Experimental Social Psychology,journal,1.7195945945945945,,267
S124167300,History and Technology,journal,0.6274509803921569,,38
S124240608,Australian and New Zealand Journal of Medicine,journal,0.0,,69
S124245730,Neuropsychiatric Disease and Treatment,journal,2.9003378378378377,,122
S124250138,Natural Product Communications,journal,1.4415584415584415,,72
S12430390,Journal of Social and Personal Relationships,journal,2.1945701357466065,,159
S124362806,Psychology of Music,journal,1.9789473684210526,,122
